,Last Name,First Name,Position,Team,Points Per Game,Total FG %,Total Points Scored
284,Johnson,James,PF,MIN,12,50,168
236,Hernangomez,Juancho,SF,MIN,12.9,45.3,181
347,Martin,Kelan,SF,MIN,6.4,39.2,197
317,Layman,Jake,SF,MIN,9.1,45.3,210
359,McLaughlin,Jordan,PG,MIN,7.6,48.9,229
470,Russell,D'Angelo,SG,MIN,21.7,41.4,260
453,Reid,Naz,PF,MIN,9,41.2,269
38,Beasley,Malik,SG,MIN,20.7,47.2,290
37,Beasley,Malik,SG,MIN,7.9,38.9,325
494,Spellman,Omari,PF,MIN,7.6,43.1,370
412,Okogie,Josh,SG,MIN,8.6,42.7,533
130,Culver,Jarrett,SG,MIN,9.2,40.4,580
469,Russell,D'Angelo,SG,MIN,23.6,43,779
513,Towns,Karl-Anthony,C,MIN,26.5,50.8,926
203,Gray,Josh,G,NOP,1,50,2
104,Cheatham,Zylan,SF,NOP,1.3,40,4
554,Williams,Kenrich,PF,NOP,3.8,34.3,132
3,Alexander-Walker,Nickeil,SG,NOP,5.1,33.9,211
410,Okafor,Jahlil,C,NOP,7.6,61.1,214
268,Jackson,Frank,PG,NOP,5.6,38.5,285
364,Melli,Nicolo,PF,NOP,6.8,44.2,355
170,Favors,Derrick,PF,NOP,9.2,62.2,415
230,Hayes,Jaxson,C,NOP,7.5,65.7,420
378,Moore,E'Twaun,SF,NOP,8.6,42.4,437
560,Williamson,Zion,PF,NOP,23.6,58.9,448
227,Hart,Josh,SG,NOP,10.2,41.6,579
23,Ball,Lonzo,PG,NOP,12.4,41.2,695
452,Redick,JJ,SG,NOP,14.6,45,805
247,Holiday,Jrue,SG,NOP,19.6,45.2,1076
264,Ingram,Brandon,SF,NOP,24.2,46.6,1358
66,Brazdeikis,Ignas,SF,NYK,1.9,27.3,17
6,Allen,Kadeem,SG,NYK,5,43.2,50
220,Harkless,Maurice,SF,NYK,6.8,45.5,82
515,Trier,Allonzo,SG,NYK,6.5,48.1,155
160,Ellington,Wayne,SG,NYK,5.1,35.1,183
492,Smith Jr.,Dennis,PG,NYK,5.5,34.1,187
81,Bullock,Reggie,SF,NYK,8.1,40.2,234
219,Harkless,Maurice,SF,NYK,5.5,51.6,275
150,Dotson,Damyean,SG,NYK,6.7,41.4,320
406,Ntilikina,Frank,PG,NYK,6.3,39.3,357
192,Gibson,Taj,PF,NYK,6.1,58.4,379
305,Knox II,Kevin,PF,NYK,6.5,35.9,420
431,Payton,Elfrid,PG,NYK,10,43.9,449
460,Robinson,Mitchell,C,NYK,9.7,74.2,590
443,Portis,Bobby,PF,NYK,10.1,45,668
27,Barrett,RJ,SG,NYK,14.3,40.2,803
449,Randle,Julius,C,NYK,19.5,46.1,1248
463,Roby,Isaiah,SF,OKL,0,0,0
239,Hervey,Kevin,PF,OKL,0.3,9.1,2
122,Cook,Tyler,PF,OKL,1.7,70,19
85,Burton,Deonte,SG,OKL,2.8,37.1,94
149,Dort,Luguentz,SG,OKL,6.2,41.1,180
393,Muscala,Mike,C,OKL,4.6,40.3,189
172,Ferguson,Terrance,SG,OKL,4.2,37.2,209
143,Diallo,Hamidou,SG,OKL,6.1,45.2,233
35,Bazley,Darius,PF,OKL,4.5,38.3,238
395,Nader,Abdel,SF,OKL,6,45.5,287
402,Noel,Nerlens,C,OKL,7.7,68.5,424
0,Adams,Steven,C,OKL,10.9,59.1,633
186,Gallinari,Danilo,SF,OKL,19.2,43.9,1057
430,Paul,Chris,PG,OKL,17.7,48.9,1114
477,Schroder,Dennis,SG,OKL,19,46.7,1199
194,Gilgeous-Alexander,Shai,PG,OKL,19.3,47.4,1216
316,Law,Vic,PG,ORL,0,0,0
338,Magette,Josh,PG,ORL,1.5,33.3,12
181,Frazier Jr.,Melvin,SF,ORL,1.2,35.3,18
109,Clark,Gary,PF,ORL,2.5,35.7,42
108,Clark,Gary,PF,ORL,3.9,39,70
7,Aminu,Al-Farouq,PF,ORL,4.3,29.1,78
163,Ennis III,James,SF,ORL,6.8,41.2,81
47,Birch,Khem,C,ORL,3.8,48.7,153
267,Iwundu,Wes,SF,ORL,5.3,39.9,237
162,Ennis III,James,SF,ORL,5.8,44.2,285
270,Jackson,Justin,SF,ORL,5.8,39.7,298
97,Carter-Williams,Michael,PG,ORL,7.2,43.4,302
24,Bamba,Mo,C,ORL,5.5,46.8,332
266,Isaac,Jonathan,F,ORL,12,46.3,384
19,Augustin,D.J.,PG,ORL,10.4,39.3,511
182,Fultz,Markelle,SG,ORL,12.1,47.3,772
197,Gordon,Aaron,PF,ORL,14.4,43.3,833
466,Ross,Terrence,SG,ORL,14.8,40.7,930
529,Vucevic,Nikola,C,ORL,19.5,47,1052
177,Fournier,Evan,SG,ORL,18.8,46.9,1149
482,Shayok,Marial,SG,PHI,1.5,20,3
491,Smith,Zhaire,SG,PHI,1.1,27.3,8
459,Robinson,Justin,PG,PHI,1.4,41.7,13
433,Pelle,Norvel,C,PHI,2.1,51.4,42
418,O'Quinn,Kyle,C,PHI,3.3,48.6,87
462,Robinson III,Glenn,SF,PHI,7.4,52.1,89
84,Burks,Alec,SG,PHI,10.7,39,118
399,Neto,Raul,PG,PHI,4.3,45.4,212
508,Thybulle,Matisse,SG,PHI,4.7,41,267
372,Milton,Shake,PG,PHI,9.5,49.8,303
478,Scott,Mike,PF,PHI,5.7,40.8,358
461,Robinson III,Glenn,SF,PHI,12.9,48.2,619
307,Korkmaz,Furkan,SG,PHI,9.7,43.1,623
454,Richardson,Josh,SF,PHI,13.8,42.9,663
252,Horford,Al,C,PHI,12,44.2,722
83,Burks,Alec,SG,PHI,15.8,40.6,773
486,Simmons,Ben,PG,PHI,16.7,58.4,902
161,Embiid,Joel,C,PHI,23.4,47.3,1031
225,Harris,Tobias,PF,PHI,19.4,47.2,1259
221,Harper,Jared,PG,PHX,0.7,25,2
421,Owens,Tariq,PF,PHX,1.3,20,4
319,Lecque,Jalen,PG,PHX,2.5,40,10
279,Jerome,Ty,PG,PHX,3.5,34.9,98
142,Diallo,Cheick,PF,PHX,4.8,65,211
411,Okobo,Elie,PG,PHX,4,39.8,215
94,Carter,Jevon,PG,PHX,4.6,40,231
295,Kaminsky,Frank,PF,PHX,11,45.5,352
282,Johnson,Cameron,SF,PHX,8.1,41.8,398
32,Baynes,Aron,C,PHX,11.5,47.9,481
67,Bridges,Mikal,SF,PHX,8.7,51.5,565
20,Ayton,Deandre,C,PHX,19,54.8,570
474,Saric,Dario,PF,PHX,10.1,46.2,586
468,Rubio,Ricky,PG,PHX,13.1,41.2,744
420,Oubre Jr.,Kelly,SF,PHX,18.7,45.2,1046
59,Booker,Devin,SG,PHX,25.7,48.7,1619
497,Swanigan,Caleb,PF,POR,0.7,50,5
75,Brown,Moses,C,POR,1.2,40,11
183,Gabriel,Wenyen,PF,POR,1.7,35.3,19
118,Collins,Zach,PF,POR,9,47.4,27
245,Hoard,Jaylen,PF,POR,2.9,46.9,38
184,Gabriel,Wenyen,PF,POR,2.4,48.3,41
498,Swanigan,Caleb,PF,POR,3,60.5,60
328,Little,Nassir,SF,POR,3.6,43,172
17,Ariza,Trevor,SF,POR,6,38.8,192
240,Hezonja,Mario,SF,POR,4.8,42.9,225
251,Hood,Rodney,SF,POR,11,50.6,230
18,Ariza,Trevor,SF,POR,11,49.1,231
514,Trent Jr.,Gary,SG,POR,7.7,42.6,406
487,Simons,Anfernee,SG,POR,8.8,40.1,572
14,Anthony,Carmelo,PF,POR,15.3,42.6,763
549,Whiteside,Hassan,C,POR,16.3,61.8,993
352,McCollum,CJ,SG,POR,22.5,45.3,1395
327,Lillard,Damian,PG,POR,28.9,45.7,1677
212,Guy,Kyle,SG,SAC,1,50,2
424,Parker,Jabari,PF,SAC,4,16.7,4
278,Jeffries,DaQuan,SF,SAC,1.2,42.9,7
281,Johnson,BJ,PF,SAC,1.6,27.8,13
323,Len,Alex,C,SAC,6.6,61.9,59
275,James,Justin,SG,SAC,2.5,42.3,85
22,Bagley III,Marvin,PF,SAC,14.2,46.7,185
174,Ferrell,Yogi,PG,SAC,4.2,39.6,185
34,Bazemore,Kent,SG,SAC,10.3,42.6,217
193,Giles III,Harry,PF,SAC,7,56,265
33,Bazemore,Kent,SG,SAC,7.9,34.7,340
322,Len,Alex,C,SAC,8.7,54.4,349
293,Joseph,Cory,PG,SAC,6.3,42,405
423,Parker,Jabari,PF,SAC,15,50.4,480
250,Holmes,Richaun,C,SAC,12.8,65.2,500
50,Bjelica,Nemanja,SF,SAC,11.9,47.4,759
52,Bogdanovic,Bogdan,SG,SAC,14.5,43.3,767
178,Fox,De'Aaron,PG,SAC,20.4,47.5,920
26,Barnes,Harrison,SF,SAC,14.7,45.9,941
241,Hield,Buddy,SG,SAC,19.8,42.9,1268
472,Samanic,Luka,PF,SAS,0,0,0
545,Weatherspoon,Quinndary,SG,SAS,0,0,0
285,Johnson,Keldon,SG,SAS,4.6,51.6,41
366,Metu,Chimezie,PF,SAS,2.9,57.1,46
164,Eubanks,Drew,PF,SAS,3.6,75,51
534,Walker IV,Lonnie,SG,SAS,5.7,43.3,300
39,Belinelli,Marco,SG,SAS,5.8,39.1,301
436,Poeltl,Jakob,C,SAS,5.3,61.9,306
335,Lyles,Trey,PF,SAS,6.4,44.6,404
190,Gay,Rudy,SF,SAS,10,44.2,601
390,Murray,Dejounte,PG,SAS,10.7,47.5,619
548,White,Derrick,PG,SAS,10.4,45.9,633
176,Forbes,Bryn,SG,SAS,11.2,41.7,707
370,Mills,Patty,PG,SAS,11.7,42.9,735
2,Aldridge,LaMarcus,PF,SAS,18.9,49.2,1001
141,DeRozan,DeMar,SG,SAS,22.1,52.6,1351
543,Watson,Paul,SG,TOR,0,0,0
544,Watson,Paul,SG,TOR,0.3,0,1
159,Ellenson,Henry,PF,TOR,0.4,14.3,2
234,Hernandez,Dewan,PF,TOR,1,20,4
286,Johnson,Stanley,SF,TOR,1.2,25.8,23
369,Miller,Malcolm,F,TOR,0.9,33.3,23
69,Brissett,Oshae,SF,TOR,1.9,36.1,37
506,Thomas,Matt,SG,TOR,4.5,48.6,150
351,McCaw,Patrick,SG,TOR,4.6,41.4,170
189,Gasol,Marc,C,TOR,7.6,41.9,275
60,Boucher,Chris,PF,TOR,6.3,45.8,348
249,Hollis-Jefferson,Rondae,PF,TOR,7.2,47.1,375
137,Davis,Terence,SG,TOR,7.7,46.3,495
15,Anunoby,OG,SF,TOR,10.7,50.7,675
446,Powell,Norman,SG,TOR,16.4,50.4,721
260,Ibaka,Serge,PF,TOR,16,51.8,801
525,VanVleet,Fred,PG,TOR,17.6,40.9,845
333,Lowry,Kyle,PG,TOR,19.7,41.7,1026
484,Siakam,Pascal,PF,TOR,23.6,45.9,1253
65,Brantley,Jarrell,PF,UTA,0,0,0
417,Oni,Miye,SG,UTA,0,0,0
565,Wright-Foreman,Justin,PG,UTA,0,0,0
558,Williams-Goss,Nigel,PG,UTA,0.4,14.3,4
380,Morgan,Juwan,PF,UTA,1.2,52.9,19
517,Tucker,Rayjon,SG,UTA,1.3,42.1,19
136,Davis,Ed,PF,UTA,1.3,41.2,33
64,Bradley,Tony,C,UTA,4.7,66.5,233
401,Niang,Georges,F,UTA,5.8,45.3,336
387,Mudiay,Emmanuel,PG,UTA,7.3,47.2,351
416,O'Neale,Royce,SF,UTA,6.2,43.9,400
111,Clarkson,Jordan,SG,UTA,14.6,44.2,423
112,Clarkson,Jordan,SG,UTA,15.6,48.1,529
119,Conley,Mike,PG,UTA,13.8,40.5,567
263,Ingles,Joe,SF,UTA,9.8,44.1,624
195,Gobert,Rudy,C,UTA,15.1,69.8,934
53,Bogdanovic,Bojan,SF,UTA,20.2,44.7,1275
373,Mitchell,Donovan,SG,UTA,24.2,45.3,1525
553,Williams,Johnathan,PF,WAS,3.2,64,35
458,Robinson,Jerome,PG,WAS,6.1,36.2,79
476,Schofield,Admiral,SF,WAS,3.1,40.5,83
349,Mathews,Garrison,SG,WAS,5.4,42.9,98
432,Payton II,Gary,PG,WAS,3.9,41.4,113
457,Robinson,Jerome,PG,WAS,2.9,33.8,122
427,Pasecniks,Anzejs,C,WAS,6,52.8,144
398,Napier,Shabazz,PG,WAS,12,43.1,180
58,Bonga,Isaac,SF,WAS,4.6,52.2,266
339,Mahinmi,Ian,C,WAS,7.4,49.3,283
397,Napier,Shabazz,PG,WAS,9.6,40.3,347
531,Wagner,Moritz,PF,WAS,9.5,57.5,352
80,Bryant,Thomas,C,WAS,12.1,59.9,459
213,Hachimura,Rui,SF,WAS,13.4,47.8,548
78,Brown Jr.,Troy,SF,WAS,9.7,45.3,594
490,Smith,Ish,PG,WAS,10.4,45.1,627
45,Bertans,Davis,PF,WAS,15.4,43.4,834
36,Beal,Bradley,SG,WAS,30.6,45.5,1742
298,Kidd,Stanton,SF,,0,0,0
337,Macura,J.P.,SG,,0,0,0
8,Anderson,Justin,SG,,1,16.7,3
54,Bolden,Jonah,PF,,1,66.7,4
10,Anderson,Ryan,PF,,2.5,28.6,5
214,Hall,Devon,SG,,1,20,5
55,Bolden,Jonah,PF,,2,25,6
438,Ponds,Shamorie,PG,,2.2,60,9
41,Bell,Jordan,C,,5,42.9,10
425,Parsons,Chandler,SF,,2.8,27.8,14
277,Jefferson,Amile,PF,,0.8,35.7,15
532,Waiters,Dion,SG,,9.3,38.5,28
535,Wallace,Tyrone,SG,,2.9,31.8,40
483,Shumpert,Iman,SG,,4.2,32.8,54
368,Miles,CJ,SF,,6.4,32.2,64
70,Broekhoff,Ryan,SG,,4.2,37.3,71
40,Bell,Jordan,C,,3.1,53.3,83
180,Frazier,Tim,PG,,3.6,36.2,97
408,Nwaba,David,SG,,5.2,52.1,104
82,Burke,Trey,PG,,5.9,46.5,147
287,Johnson,Tyler,PG,,5.7,38,178
504,Thomas,Isaiah,PG,,12.2,40.8,488
