,Last Name,First Name,Position,Team,Total FG %,Total Points Scored
111,Clarkson,Jordan,SG,UTA,44.2,423.0
112,Clarkson,Jordan,SG,UTA,48.1,529.0
119,Conley,Mike,PG,UTA,40.5,567.0
263,Ingles,Joe,SF,UTA,44.1,624.0
195,Gobert,Rudy,C,UTA,69.8,934.0
53,Bogdanovic,Bojan,SF,UTA,44.7,1275.0
373,Mitchell,Donovan,SG,UTA,45.3,1525.0
553,Williams,Johnathan,PF,WAS,64.0,35.0
458,Robinson,Jerome,PG,WAS,36.2,79.0
476,Schofield,Admiral,SF,WAS,40.5,83.0
349,Mathews,Garrison,SG,WAS,42.9,98.0
432,Payton II,Gary,PG,WAS,41.4,113.0
457,Robinson,Jerome,PG,WAS,33.8,122.0
427,Pasecniks,Anzejs,C,WAS,52.8,144.0
398,Napier,Shabazz,PG,WAS,43.1,180.0
58,Bonga,Isaac,SF,WAS,52.2,266.0
339,Mahinmi,Ian,C,WAS,49.3,283.0
397,Napier,Shabazz,PG,WAS,40.3,347.0
531,Wagner,Moritz,PF,WAS,57.5,352.0
80,Bryant,Thomas,C,WAS,59.9,459.0
213,Hachimura,Rui,SF,WAS,47.8,548.0
78,Brown Jr.,Troy,SF,WAS,45.3,594.0
490,Smith,Ish,PG,WAS,45.1,627.0
45,Bertans,Davis,PF,WAS,43.4,834.0
36,Beal,Bradley,SG,WAS,45.5,1742.0
298,Kidd,Stanton,SF,,0.0,0.0
337,Macura,J.P.,SG,,0.0,0.0
8,Anderson,Justin,SG,,16.7,3.0
54,Bolden,Jonah,PF,,66.7,4.0
10,Anderson,Ryan,PF,,28.6,5.0
214,Hall,Devon,SG,,20.0,5.0
55,Bolden,Jonah,PF,,25.0,6.0
438,Ponds,Shamorie,PG,,60.0,9.0
41,Bell,Jordan,C,,42.9,10.0
425,Parsons,Chandler,SF,,27.8,14.0
277,Jefferson,Amile,PF,,35.7,15.0
532,Waiters,Dion,SG,,38.5,28.0
535,Wallace,Tyrone,SG,,31.8,40.0
483,Shumpert,Iman,SG,,32.8,54.0
368,Miles,CJ,SF,,32.2,64.0
70,Broekhoff,Ryan,SG,,37.3,71.0
40,Bell,Jordan,C,,53.3,83.0
180,Frazier,Tim,PG,,36.2,97.0
408,Nwaba,David,SG,,52.1,104.0
82,Burke,Trey,PG,,46.5,147.0
287,Johnson,Tyler,PG,,38.0,178.0
504,Thomas,Isaiah,PG,,40.8,488.0
